"","Header","Activities","Periods","Labour","Output","ValueAdded"
"1","Environmental domains, total","Total sector environment",2001,123.2,19730,9109
"2","Environmental domains, total","Total sector environment",2002,125.9,20979,9582
"3","Environmental domains, total","Total sector environment",2003,125.5,21704,9884
"4","Environmental domains, total","Total sector environment",2004,120.6,21993,10217
"5","Environmental domains, total","Total sector environment",2005,118.6,22684,10734
"6","Environmental domains, total","Total sector environment",2006,125.1,24655,11697
"7","Environmental domains, total","Total sector environment",2007,127,26399,12424
"8","Environmental domains, total","Total sector environment",2008,129.1,29044,13658
"9","Environmental domains, total","Total sector environment",2009,133.9,28403,13476
"10","Environmental domains, total","Total sector environment",2010,135.6,30060,14522
"11","Environmental domains, total","Total sector environment",2011,139.7,32532,15318
"12","Environmental domains, total","Total sector environment",2012,135.4,33347,15417
"13","Environmental domains, total","Total sector environment",2013,138.4,33956,15496
"14","Environmental domains, total","Total sector environment",2014,137.6,35049,16200
"15","Environmental domains, total","Total sector environment",2015,140,35694,16737
"16","Environmental domains, total","Energy systems and energy conservation",2001,12.9,3317,1158
"17","Environmental domains, total","Energy systems and energy conservation",2002,13.7,3595,1254
"18","Environmental domains, total","Energy systems and energy conservation",2003,13.4,3697,1253
"19","Environmental domains, total","Energy systems and energy conservation",2004,13.5,3462,1241
"20","Environmental domains, total","Energy systems and energy conservation",2005,13.2,3413,1220
"21","Environmental domains, total","Energy systems and energy conservation",2006,13.1,3515,1184
"22","Environmental domains, total","Energy systems and energy conservation",2007,14.2,3993,1304
"23","Environmental domains, total","Energy systems and energy conservation",2008,16,4762,1524
"24","Environmental domains, total","Energy systems and energy conservation",2009,16.6,4395,1476
"25","Environmental domains, total","Energy systems and energy conservation",2010,17.5,4512,1588
"26","Environmental domains, total","Energy systems and energy conservation",2011,18.6,5042,1652
"27","Environmental domains, total","Energy systems and energy conservation",2012,19.6,5382,1731
"28","Environmental domains, total","Energy systems and energy conservation",2013,21.8,5973,1949
"29","Environmental domains, total","Energy systems and energy conservation",2014,21.7,6399,2110
"30","Environmental domains, total","Energy systems and energy conservation",2015,23.8,7291,2498
"31","Environmental domains, total","Production of renewable energy",2001,0.8,156,107
"32","Environmental domains, total","Production of renewable energy",2002,0.9,193,135
"33","Environmental domains, total","Production of renewable energy",2003,0.9,239,165
"34","Environmental domains, total","Production of renewable energy",2004,1,476,364
"35","Environmental domains, total","Production of renewable energy",2005,1.2,906,740
"36","Environmental domains, total","Production of renewable energy",2006,1.3,1015,823
"37","Environmental domains, total","Production of renewable energy",2007,1.5,1035,780
"38","Environmental domains, total","Production of renewable energy",2008,1.8,1389,1077
"39","Environmental domains, total","Production of renewable energy",2009,2.1,1696,1226
"40","Environmental domains, total","Production of renewable energy",2010,2.2,1778,1113
"41","Environmental domains, total","Production of renewable energy",2011,2.3,2235,1278
"42","Environmental domains, total","Production of renewable energy",2012,2.5,3087,1316
"43","Environmental domains, total","Production of renewable energy",2013,2.6,3062,1387
"44","Environmental domains, total","Production of renewable energy",2014,2.6,3287,1629
"45","Environmental domains, total","Production of renewable energy",2015,2.8,3316,1770
"46","Environmental domains, total","Environmental engineering activities.",2001,2.5,368,102
"47","Environmental domains, total","Environmental engineering activities.",2002,2.5,389,106
"48","Environmental domains, total","Environmental engineering activities.",2003,3,564,153
"49","Environmental domains, total","Environmental engineering activities.",2004,2.7,622,165
"50","Environmental domains, total","Environmental engineering activities.",2005,2.6,597,155
"51","Environmental domains, total","Environmental engineering activities.",2006,2.7,802,182
"52","Environmental domains, total","Environmental engineering activities.",2007,2.7,788,175
"53","Environmental domains, total","Environmental engineering activities.",2008,2.6,814,175
"54","Environmental domains, total","Environmental engineering activities.",2009,2.6,800,176
"55","Environmental domains, total","Environmental engineering activities.",2010,2.7,681,143
"56","Environmental domains, total","Environmental engineering activities.",2011,2.6,705,151
"57","Environmental domains, total","Environmental engineering activities.",2012,2,579,128
"58","Environmental domains, total","Environmental engineering activities.",2013,2.2,662,167
"59","Environmental domains, total","Environmental engineering activities.",2014,2.1,779,179
"60","Environmental domains, total","Environmental engineering activities.",2015,2,592,132
"61","Environmental domains, total","Environmental consultancy, engineering",2001,8.8,955,496
"62","Environmental domains, total","Environmental consultancy, engineering",2002,9.5,1068,548
"63","Environmental domains, total","Environmental consultancy, engineering",2003,8.7,996,514
"64","Environmental domains, total","Environmental consultancy, engineering",2004,9.4,1096,563
"65","Environmental domains, total","Environmental consultancy, engineering",2005,9,1057,545
"66","Environmental domains, total","Environmental consultancy, engineering",2006,10,1204,627
"67","Environmental domains, total","Environmental consultancy, engineering",2007,10.1,1262,671
"68","Environmental domains, total","Environmental consultancy, engineering",2008,10.9,1433,804
"69","Environmental domains, total","Environmental consultancy, engineering",2009,10.3,1280,708
"70","Environmental domains, total","Environmental consultancy, engineering",2010,10.9,1513,823
"71","Environmental domains, total","Environmental consultancy, engineering",2011,10.5,1430,780
"72","Environmental domains, total","Environmental consultancy, engineering",2012,10.2,1434,742
"73","Environmental domains, total","Environmental consultancy, engineering",2013,10,1406,751
"74","Environmental domains, total","Environmental consultancy, engineering",2014,9.7,1426,760
"75","Environmental domains, total","Environmental consultancy, engineering",2015,9.7,1430,761
"76","Environmental domains, total","Production of industrial envir equipment",2001,5.4,1288,383
"77","Environmental domains, total","Production of industrial envir equipment",2002,5.7,1436,397
"78","Environmental domains, total","Production of industrial envir equipment",2003,5.6,1432,393
"79","Environmental domains, total","Production of industrial envir equipment",2004,5.1,1337,355
"80","Environmental domains, total","Production of industrial envir equipment",2005,5.6,1545,385
"81","Environmental domains, total","Production of industrial envir equipment",2006,5.8,1579,418
"82","Environmental domains, total","Production of industrial envir equipment",2007,5.8,1625,419
"83","Environmental domains, total","Production of industrial envir equipment",2008,5.9,1674,393
"84","Environmental domains, total","Production of industrial envir equipment",2009,5.8,1316,420
"85","Environmental domains, total","Production of industrial envir equipment",2010,5.9,1408,467
"86","Environmental domains, total","Production of industrial envir equipment",2011,6.1,1629,494
"87","Environmental domains, total","Production of industrial envir equipment",2012,5.8,1588,445
"88","Environmental domains, total","Production of industrial envir equipment",2013,5.8,1614,462
"89","Environmental domains, total","Production of industrial envir equipment",2014,5.7,1678,495
"90","Environmental domains, total","Production of industrial envir equipment",2015,5.7,1729,500
"91","Environmental domains, total","Organic agriculture",2001,2,296,113
"92","Environmental domains, total","Organic agriculture",2002,2,308,110
"93","Environmental domains, total","Organic agriculture",2003,2.1,308,110
"94","Environmental domains, total","Organic agriculture",2004,2,308,102
"95","Environmental domains, total","Organic agriculture",2005,2,318,109
"96","Environmental domains, total","Organic agriculture",2006,1.9,352,125
"97","Environmental domains, total","Organic agriculture",2007,1.9,371,117
"98","Environmental domains, total","Organic agriculture",2008,2,405,113
"99","Environmental domains, total","Organic agriculture",2009,2.1,385,102
"100","Environmental domains, total","Organic agriculture",2010,2.3,477,146
"101","Environmental domains, total","Organic agriculture",2011,2.7,501,124
"102","Environmental domains, total","Organic agriculture",2012,2.8,545,135
"103","Environmental domains, total","Organic agriculture",2013,2.9,597,166
"104","Environmental domains, total","Organic agriculture",2014,2.9,573,168
"105","Environmental domains, total","Organic agriculture",2015,3,565,162
"106","Environmental domains, total","Preparation for recycling",2001,2.8,853,263
"107","Environmental domains, total","Preparation for recycling",2002,3,926,289
"108","Environmental domains, total","Preparation for recycling",2003,3.1,1011,343
"109","Environmental domains, total","Preparation for recycling",2004,3,1177,398
